=== RUN   TestCSV
    modexpbench_test.go:466: BENCHRUN,8,16,24,32,64,128,256
        1,0.4752504988660601,0.4882729073405443,0.4414883030875081,1.2216512689874564,0.4492852134704521,1.575788583409528,0.7925299606168745
        1-2adicity1,0.4683209094448927,0.5133539015943698,1.2193129774486848,0.44133791798747124,0.4512412481747735,1.5546844524895713,0.1872266730985169
        1-2adicity8,0.5032367672445812,1.3190521143329483,1.2780970216442484,0.45356436405089134,1.4159403708588134,0.45607103138769317,0.18858627363414154
        2,1.94433357430968,3.153028105517925,4.709558667955281,4.052660419005641,6.221914257787648,23.275336737076913,12.357054867576908
        2-2adicity1,1.845252731503298,3.131766815346512,4.61234406360405,3.7944330227943697,5.794449740638149,24.211743413787982,12.833739521394081
        2-2adicity8,1.5334320538011845,4.125531157109547,4.594861133456218,3.828759892514425,9.501637438968556,24.346762190188727,26.23649383674252
        3,2.5266431283876623,5.62963111,7.091196498124209,9.834809780678734,10.537231198093915,31.053626366198994,19.405007111563382
        3-2adicity1,2.2079497777695813,6.857941824360531,8.281897986095831,6.716097614805633,15.416322828640531,29.003048106934244,19.55999713999929
        3-2adicity8,2.6616489450346497,5.930330075991308,8.653013937961859,9.760995387522382,15.53041421577777,19.931714071742736,19.767179078390292
        4,2.719103711702941,8.35804972999151,10.511486907248395,12.392748537756628,22.029651896599535,25.888237390350877,16.988632832168932
        4-2adicity1,3.248596231597403,7.871656840215528,11.575933763270246,12.713522502782874,19.859026056147183,26.412247074762664,22.01995076169638
        4-2adicity8,2.588375685150228,8.506423562529656,9.146131519984184,13.685639636595443,23.184766616834427,37.04878936104592,24.42494964767995
        5,3.588355241357451,10.039288790116613,13.569565491450845,12.265938034871064,27.831751593845233,24.176923250593457,16.02665602833998
        5-2adicity1,3.645795270694868,9.10439276687772,12.446092369306632,13.570796377193043,27.5312765233887,33.34312788797113,25.456783116766353
        5-2adicity8,3.8759089584836324,9.958504798174452,13.903317375058384,15.99364311734187,23.797088975718022,18.67172991950324,19.255124948027884
        6,3.970606889200316,10.214503686997588,11.984834645396855,17.95750072455725,36.68681818181818,33.52882326416172,14.745957958132548
        6-2adicity1,3.965848638873567,13.551312245138018,18.499425091737315,19.89541460615689,32.030572576967245,22.91770576867023,20.076731399864638
        6-2adicity8,3.5700664343228263,11.573661735388782,15.917454835087353,21.14573360053782,32.41337989816963,30.811606293938,23.28644777239438
        7,4.177332840993013,15.834441016457582,15.393787905836911,21.8768268911124,43.885749284651915,26.003300213621618,16.80304075810038
        7-2adicity1,4.668033624847085,14.261486911632618,20.967565762664996,18.15996404196428,40.36996346576849,32.58463795676076,25.51938942050081
        7-2adicity8,4.372122309859732,13.473561028151222,16.76198566574341,20.12451481993317,46.68240312509683,25.717644528264298,20.395119526727928
        8,4.705005895048551,17.10248154782213,21.233422172896695,20.28418865222169,43.02756597038634,23.433253199203733,23.73694434959468
        8-2adicity1,4.911586645258119,16.00277026493008,25.11348030403381,25.116749054496534,36.57113762424825,27.13225328880095,17.533007184834474
        8-2adicity8,4.997782151822064,16.461764316193786,22.31538599550881,28.16115278850095,42.779070929121666,31.456228964514327,21.068019563579526
        16,8.599548885844914,33.75853333115411,37.67469296614477,51.403316674181006,35.02864106944295,28.26840549192647,17.90374908970185
        16-2adicity1,9.201824585974107,34.04792586674276,40.51151302923881,56.229491309243166,46.31246783018427,25.54824494146528,18.83518433351884
        16-2adicity8,8.843011224045826,37.087402123959755,41.35758085671879,57.37871042835018,39.16017443529587,28.183289444069324,20.04797051718764
        24,16.795441129392803,26.88966299795245,36.72396621458654,47.57137200194232,24.181746553314543,16.48574287751418,11.844163295490583
        24-2adicity1,22.853019317743577,37.61133180323985,45.25870063009067,57.32807402952015,27.096136526497066,17.672746437051842,13.12489426974861
        24-2adicity8,28.926231085975097,35.905117438708885,51.71552763884774,57.60054340490048,29.850820275693803,17.619849526017767,13.635649376127045
        32,18.493797640851213,30.397780987855587,42.43042355706304,46.65463928653669,21.793677001901763,15.795991528195168,13.510545491753577
        32-2adicity1,26.533881384045177,39.71969495740005,51.768741788782215,52.961913252612376,24.11265666556782,15.666854378411012,12.76713081503883
        32-2adicity8,28.06755714069477,41.284809255784864,58.94715641198785,59.54012081451435,26.343970540187325,16.240851929777744,11.628578631164013
        40,20.561676861637533,34.24759371681416,50.222395406141224,43.56748622045518,19.866786470419857,13.783800363940454,10.628910312603274
        40-2adicity1,28.50805205534659,42.98128191477882,58.17251834592367,47.8321471407571,24.361610416770485,14.92812080918388,10.677900714912818
        40-2adicity8,35.28919994971831,44.42639870490953,61.046981227182414,52.53533068325844,22.94819929319472,15.334445151839315,10.523862415259604
        48,23.886610404358045,39.62862404509325,53.84929387269135,41.68412268307942,18.670213986606164,13.75671031643632,10.180326865725629
